Date,CA,CAName,DailyPositive,CumulativePositive,CrudeRatePositive,CrudeRate7DayPositive,DailyDeaths,CumulativeDeaths,CrudeRateDeaths,DailyNegative,CumulativeNegative,CrudeRateNegative,TotalTests,PositiveTests,PositivePercentage,PositivePercentage7Day,TotalPillar1,TotalPillar2,PositivePillar1,PositivePillar2
20200228,S12000005,Clackmannanshire,0,0,0,,0,0,0,4,13,25.346071358939362,6,0,0,,6,0,0,0
20200228,S12000006,Dumfries and Galloway,0,0,0,,0,0,0,8,20,13.487086115044844,9,0,0,,9,0,0,0
20200228,S12000008,East Ayrshire,0,0,0,,0,0,0,0,8,6.578947368421052,1,0,0,,1,0,0,0
20200228,S12000010,East Lothian,0,0,0,,0,0,0,7,13,12.048192771084336,7,0,0,,7,0,0,0
20200228,S12000011,East Renfrewshire,0,0,0,,0,0,0,2,4,4.164064126587549,3,0,0,,3,0,0,0
20200228,S12000014,Falkirk,0,0,0,,0,0,0,7,26,16.19332336821126,11,0,0,,11,0,0,0
20200228,S12000017,Highland,0,0,0,,0,0,0,3,23,9.769358195642017,4,0,0,,4,0,0,0
20200228,S12000018,Inverclyde,0,0,0,,0,0,0,0,9,11.679211004412148,0,0,0,,0,0,0,0
20200228,S12000019,Midlothian,0,0,0,,0,0,0,1,12,12.88244766505636,1,0,0,,1,0,0,0
20200228,S12000020,Moray,0,0,0,,0,0,0,2,11,11.493051927698255,2,0,0,,2,0,0,0
20200228,S12000021,North Ayrshire,0,0,0,,0,0,0,6,15,11.1731843575419,6,0,0,,6,0,0,0
20200228,S12000023,Orkney Islands,0,0,0,,0,0,0,0,5,22.32142857142857,0,0,0,,0,0,0,0
20200228,S12000026,Scottish Borders,0,0,0,,0,0,0,3,25,21.69385629989587,3,0,0,,3,0,0,0
20200228,S12000028,South Ayrshire,0,0,0,,0,0,0,2,3,2.675227394328518,2,0,0,,2,0,0,0
20200228,S12000029,South Lanarkshire,0,0,0,,0,0,0,2,20,6.234025310142759,2,0,0,,2,0,0,0
20200228,S12000030,Stirling,0,0,0,,0,0,0,3,20,21.258503401360542,3,0,0,,3,0,0,0
20200228,S12000033,Aberdeen City,0,0,0,,0,0,0,0,28,12.223871474722781,0,0,0,,0,0,0,0
20200228,S12000034,Aberdeenshire,0,1,0.3834649896464453,,0,0,0,4,30,11.503949689393359,4,0,0,,4,0,0,0
20200228,S12000035,Argyll and Bute,0,0,0,,0,0,0,0,3,3.511646962425377,0,0,0,,0,0,0,0
20200228,S12000036,City of Edinburgh,0,0,0,,0,0,0,31,105,19.900686099844584,37,0,0,,37,0,0,0
20200228,S12000038,Renfrewshire,0,0,0,,0,0,0,3,16,8.919114777858297,4,0,0,,4,0,0,0
20200228,S12000039,West Dunbartonshire,0,0,0,,0,0,0,0,10,11.319900384876613,0,0,0,,0,0,0,0
20200228,S12000040,West Lothian,0,0,0,,0,0,0,2,19,10.336198455010337,4,0,0,,4,0,0,0
20200228,S12000041,Angus,1,1,0.8634087376964255,,0,0,0,0,27,23.312035917803488,2,2,100,,2,0,2,0
20200228,S12000042,Dundee City,0,0,0,,0,0,0,2,19,12.767101196075796,3,0,0,,3,0,0,0
20200228,S12000045,East Dunbartonshire,0,0,0,,0,0,0,2,9,8.275862068965518,2,0,0,,2,0,0,0
20200228,S12000047,Fife,0,0,0,,0,0,0,12,54,14.43348568679336,14,0,0,,14,0,0,0
20200228,S12000048,Perth and Kinross,0,0,0,,0,0,0,1,27,17.77368178526759,1,0,0,,1,0,0,0
20200228,S12000049,Glasgow City,0,0,0,,0,0,0,10,63,9.911270530488956,19,0,0,,19,0,0,0
20200228,S12000050,North Lanarkshire,0,0,0,,0,0,0,7,35,10.259717418068828,8,0,0,,8,0,0,0
20200229,S12000005,Clackmannanshire,0,0,0,,0,0,0,0,13,25.346071358939362,0,0,0,,0,0,0,0
20200229,S12000006,Dumfries and Galloway,0,0,0,,0,0,0,6,26,17.5332119495583,8,0,0,,8,0,0,0
20200229,S12000008,East Ayrshire,0,0,0,,0,0,0,1,9,7.401315789473685,1,0,0,,1,0,0,0
20200229,S12000010,East Lothian,0,0,0,,0,0,0,1,14,12.974976830398518,1,0,0,,1,0,0,0
20200229,S12000011,East Renfrewshire,0,0,0,,0,0,0,0,4,4.164064126587549,0,0,0,,0,0,0,0
20200229,S12000014,Falkirk,0,0,0,,0,0,0,6,32,19.930244145490782,9,0,0,,9,0,0,0
20200229,S12000017,Highland,0,0,0,,0,0,0,3,26,11.043622308117063,3,0,0,,3,0,0,0
20200229,S12000018,Inverclyde,0,0,0,,0,0,0,1,10,12.976901116013495,1,0,0,,1,0,0,0
20200229,S12000019,Midlothian,0,0,0,,0,0,0,0,12,12.88244766505636,0,0,0,,0,0,0,0
20200229,S12000020,Moray,0,0,0,,0,0,0,2,13,13.582697732734301,2,0,0,,2,0,0,0
20200229,S12000021,North Ayrshire,0,0,0,,0,0,0,2,17,12.662942271880818,2,0,0,,2,0,0,0
20200229,S12000023,Orkney Islands,0,0,0,,0,0,0,0,5,22.32142857142857,0,0,0,,0,0,0,0
20200229,S12000026,Scottish Borders,0,0,0,,0,0,0,2,27,23.429364803887538,3,0,0,,3,0,0,0
20200229,S12000028,South Ayrshire,0,0,0,,0,0,0,1,4,3.5669698591046908,1,0,0,,1,0,0,0
20200229,S12000029,South Lanarkshire,0,0,0,,0,0,0,4,24,7.480830372171311,4,0,0,,4,0,0,0
20200229,S12000030,Stirling,0,0,0,,0,0,0,4,24,25.510204081632654,5,0,0,,5,0,0,0
20200229,S12000033,Aberdeen City,0,0,0,,0,0,0,0,28,12.223871474722781,0,0,0,,0,0,0,0
20200229,S12000034,Aberdeenshire,0,1,0.3834649896464453,,0,0,0,2,32,12.27087966868625,2,0,0,,2,0,0,0
20200229,S12000035,Argyll and Bute,0,0,0,,0,0,0,0,3,3.511646962425377,1,0,0,,1,0,0,0
20200229,S12000036,City of Edinburgh,0,0,0,,0,0,0,2,107,20.279746787460674,2,0,0,,2,0,0,0
20200229,S12000038,Renfrewshire,0,0,0,,0,0,0,2,18,10.034004125090584,3,0,0,,3,0,0,0
20200229,S12000039,West Dunbartonshire,0,0,0,,0,0,0,0,10,11.319900384876613,0,0,0,,0,0,0,0
20200229,S12000040,West Lothian,0,0,0,,0,0,0,1,20,10.88020890001088,1,0,0,,1,0,0,0
20200229,S12000041,Angus,0,1,0.8634087376964255,,0,0,0,0,27,23.312035917803488,0,0,0,,0,0,0,0
20200229,S12000042,Dundee City,0,0,0,,0,0,0,1,20,13.439053890606102,1,0,0,,1,0,0,0
20200229,S12000045,East Dunbartonshire,0,0,0,,0,0,0,4,13,11.954022988505747,6,0,0,,6,0,0,0
20200229,S12000047,Fife,0,0,0,,0,0,0,5,59,15.769919546681633,5,0,0,,5,0,0,0
20200229,S12000048,Perth and Kinross,0,0,0,,0,0,0,0,27,17.77368178526759,0,0,0,,0,0,0,0
20200229,S12000049,Glasgow City,0,0,0,,0,0,0,12,75,11.799131583915424,20,0,0,,20,0,0,0
20200229,S12000050,North Lanarkshire,0,0,0,,0,0,0,3,38,11.139121768189014,6,0,0,,6,0,0,0
20200301,S12000005,Clackmannanshire,1,1,1.9496977968414897,,0,0,0,1,14,27.295769155780853,2,1,50,,2,0,1,0
20200301,S12000006,Dumfries and Galloway,0,0,0,,0,0,0,4,30,20.230629172567266,4,0,0,,4,0,0,0
